,wind_code,i_weight
1,000001.SZ,0.8104
2,000002.SZ,1.4745
3,000008.SZ,0.0596
4,000009.SZ,0.1603
5,000027.SZ,0.0794
6,000039.SZ,0.1235
7,000060.SZ,0.1534
8,000061.SZ,0.0605
9,000063.SZ,0.4777
10,000069.SZ,0.2974
11,000100.SZ,0.2582
12,000156.SZ,0.083
13,000157.SZ,0.1967
14,000166.SZ,0.3492
15,000333.SZ,1.6861
16,000338.SZ,0.2761
17,000402.SZ,0.1434
18,000413.SZ,0.1881
19,000415.SZ,0.121
20,000423.SZ,0.3618
21,000425.SZ,0.1464
22,000503.SZ,0.1841
23,000538.SZ,0.4859
24,000540.SZ,0.1849
25,000555.SZ,0.0476
26,000559.SZ,0.1301
27,000568.SZ,0.3457
28,000623.SZ,0.2045
29,000625.SZ,0.2817
30,000627.SZ,0.0896
31,000630.SZ,0.1713
32,000651.SZ,1.6792
33,000671.SZ,0.0941
34,000686.SZ,0.1379
35,000709.SZ,0.1845
36,000712.SZ,0.0682
37,000718.SZ,0.0726
38,000725.SZ,0.9422
39,000728.SZ,0.2222
40,000738.SZ,0.0857
41,000750.SZ,0.1619
42,000768.SZ,0.2403
43,000776.SZ,0.5022
44,000778.SZ,0.1363
45,000783.SZ,0.3169
46,000792.SZ,0.1063
47,000793.SZ,0.2114
48,000800.SZ,0.08
49,000826.SZ,0.174
50,000839.SZ,0.2458
51,000858.SZ,0.9424
52,000876.SZ,0.1693
53,000895.SZ,0.218
54,000917.SZ,0.125
55,000938.SZ,0.0776
56,000963.SZ,0.2292
57,000977.SZ,0.1089
58,000983.SZ,0.1168
59,001979.SZ,0.4895
60,002007.SZ,0.2035
61,002008.SZ,0.2738
62,002024.SZ,0.3902
63,002027.SZ,0.0849
64,002049.SZ,0.1155
65,002065.SZ,0.2043
66,002074.SZ,0.1197
67,002081.SZ,0.1616
68,002085.SZ,0.1712
69,002129.SZ,0.1123
70,002131.SZ,0.0789
71,002142.SZ,0.3673
72,002146.SZ,0.1408
73,002152.SZ,0.0948
74,002153.SZ,0.0677
75,002174.SZ,0.0972
76,002183.SZ,0.1215
77,002195.SZ,0.0996
78,002202.SZ,0.2406
79,002230.SZ,0.2974
80,002236.SZ,0.2872
81,002241.SZ,0.3237
82,002252.SZ,0.2068
83,002292.SZ,0.0779
84,002299.SZ,0.0574
85,002304.SZ,0.5387
86,002310.SZ,0.1695
87,002385.SZ,0.1272
88,002415.SZ,0.7884
89,002424.SZ,0.0747
90,002426.SZ,0.1349
91,002450.SZ,0.5078
92,002456.SZ,0.3115
93,002465.SZ,0.1869
94,002466.SZ,0.2549
95,002470.SZ,0.1124
96,002475.SZ,0.2415
97,002500.SZ,0.1076
98,002568.SZ,0.0301
99,002594.SZ,0.2756
100,002673.SZ,0.2442
101,002714.SZ,0.0848
102,002736.SZ,0.3295
103,002739.SZ,0.2663
104,002797.SZ,0.0371
105,300002.SZ,0.1173
106,300015.SZ,0.1374
107,300017.SZ,0.1562
108,300024.SZ,0.2042
109,300027.SZ,0.1318
110,300033.SZ,0.1371
111,300058.SZ,0.1023
112,300059.SZ,0.3018
113,300070.SZ,0.3471
114,300072.SZ,0.3077
115,300085.SZ,0.0468
116,300104.SZ,0.3747
117,300124.SZ,0.2264
118,300133.SZ,0.0768
119,300144.SZ,0.1244
120,300146.SZ,0.087
121,300168.SZ,0.1162
122,300182.SZ,0.1038
123,300251.SZ,0.0712
124,300315.SZ,0.1761
125,600000.SH,1.4918
126,600008.SH,0.1597
127,600009.SH,0.3789
128,600010.SH,0.302
129,600015.SH,0.5938
130,600016.SH,1.9475
131,600018.SH,0.2129
132,600019.SH,0.573
133,600021.SH,0.1145
134,600023.SH,0.2427
135,600028.SH,0.6834
136,600029.SH,0.3174
137,600030.SH,1.3234
138,600031.SH,0.2724
139,600036.SH,2.3933
140,600037.SH,0.0992
141,600038.SH,0.0958
142,600048.SH,0.7132
143,600050.SH,0.6505
144,600060.SH,0.1115
145,600061.SH,0.1746
146,600066.SH,0.2819
147,600068.SH,0.2818
148,600074.SH,0.1187
149,600085.SH,0.1836
150,600089.SH,0.3218
151,600100.SH,0.2579
152,600104.SH,1.0988
153,600109.SH,0.2496
154,600111.SH,0.2427
155,600115.SH,0.2082
156,600118.SH,0.1621
157,600150.SH,0.1528
158,600153.SH,0.1983
159,600157.SH,0.1782
160,600170.SH,0.1552
161,600177.SH,0.2226
162,600188.SH,0.0411
163,600196.SH,0.3324
164,600208.SH,0.1749
165,600221.SH,0.2195
166,600252.SH,0.1136
167,600256.SH,0.1345
168,600271.SH,0.2046
169,600276.SH,0.8812
170,600297.SH,0.1663
171,600309.SH,0.3175
172,600332.SH,0.1643
173,600340.SH,0.3194
174,600352.SH,0.2157
175,600362.SH,0.1262
176,600369.SH,0.1574
177,600372.SH,0.0787
178,600373.SH,0.1116
179,600376.SH,0.125
180,600383.SH,0.2778
181,600406.SH,0.2489
182,600415.SH,0.2158
183,600446.SH,0.0842
184,600482.SH,0.0874
185,600485.SH,0.2192
186,600489.SH,0.1719
187,600498.SH,0.1173
188,600518.SH,0.6579
189,600519.SH,2.3188
190,600535.SH,0.266
191,600547.SH,0.2113
192,600549.SH,0.0864
193,600570.SH,0.1836
194,600582.SH,0.0706
195,600583.SH,0.1412
196,600585.SH,0.4416
197,600588.SH,0.1086
198,600606.SH,0.199
199,600637.SH,0.28
200,600648.SH,0.0663
201,600649.SH,0.1297
202,600654.SH,0.1244
203,600660.SH,0.3518
204,600663.SH,0.1811
205,600666.SH,0.1316
206,600674.SH,0.2179
207,600685.SH,0.0842
208,600688.SH,0.1517
209,600690.SH,0.4503
210,600703.SH,0.4017
211,600704.SH,0.1316
212,600705.SH,0.2775
213,600718.SH,0.1388
214,600737.SH,0.0915
215,600739.SH,0.2146
216,600741.SH,0.262
217,600754.SH,0.044
218,600783.SH,0.0484
219,600795.SH,0.4226
220,600804.SH,0.188
221,600816.SH,0.2032
222,600820.SH,0.1887
223,600827.SH,0.1285
224,600837.SH,1.2559
225,600839.SH,0.1259
226,600867.SH,0.2057
227,600871.SH,0.0651
228,600873.SH,0.1071
229,600875.SH,0.1125
230,600886.SH,0.3308
231,600887.SH,1.211
232,600893.SH,0.1922
233,600895.SH,0.1289
234,600900.SH,1.0189
235,600958.SH,0.4432
236,600959.SH,0.1746
237,600999.SH,0.403
238,601006.SH,0.5137
239,601009.SH,0.416
240,601018.SH,0.2318
241,601021.SH,0.0855
242,601088.SH,0.4415
243,601099.SH,0.2779
244,601111.SH,0.2143
245,601118.SH,0.0623
246,601127.SH,0.0318
247,601155.SH,0.1616
248,601166.SH,2.1227
249,601169.SH,1.1221
250,601186.SH,0.5775
251,601198.SH,0.1947
252,601211.SH,0.9145
253,601216.SH,0.1271
254,601225.SH,0.1235
255,601258.SH,0.1392
256,601288.SH,1.4057
257,601318.SH,5.1149
258,601328.SH,1.7638
259,601333.SH,0.1501
260,601336.SH,0.4559
261,601377.SH,0.3577
262,601390.SH,0.6907
263,601398.SH,1.1764
264,601555.SH,0.2375
265,601600.SH,0.2891
266,601601.SH,0.9941
267,601607.SH,0.3075
268,601608.SH,0.0741
269,601611.SH,0.0624
270,601618.SH,0.2756
271,601628.SH,0.4907
272,601633.SH,0.1517
273,601668.SH,1.4775
274,601669.SH,0.3771
275,601688.SH,0.5931
276,601718.SH,0.115
277,601727.SH,0.2159
278,601766.SH,1.0265
279,601788.SH,0.3062
280,601800.SH,0.2483
281,601818.SH,0.6559
282,601857.SH,0.3917
283,601866.SH,0.1121
284,601872.SH,0.1123
285,601877.SH,0.0809
286,601888.SH,0.2822
287,601899.SH,0.3716
288,601901.SH,0.386
289,601919.SH,0.2098
290,601928.SH,0.0749
291,601933.SH,0.2634
292,601939.SH,0.4421
293,601958.SH,0.066
294,601985.SH,0.3741
295,601988.SH,0.8097
296,601989.SH,0.5856
297,601998.SH,0.1949
298,603000.SH,0.0726
299,603885.SH,0.058
300,603993.SH,0.1625
