,wind_code,i_weight
1,300001.SZ,0.6906
2,300002.SZ,0.8844
3,300003.SZ,1.7709
4,300009.SZ,0.6039
5,300010.SZ,0.5646
6,300014.SZ,0.7226
7,300015.SZ,1.1119
8,300017.SZ,1.639
9,300020.SZ,0.7026
10,300024.SZ,2.2612
11,300026.SZ,0.6922
12,300027.SZ,1.2666
13,300033.SZ,1.2254
14,300037.SZ,0.368
15,300043.SZ,0.4288
16,300053.SZ,0.6481
17,300055.SZ,1.1054
18,300058.SZ,1.0414
19,300059.SZ,3.0089
20,300068.SZ,0.706
21,300070.SZ,2.8529
22,300072.SZ,2.8326
23,300073.SZ,0.4295
24,300077.SZ,0.7846
25,300078.SZ,0.5148
26,300079.SZ,0.7224
27,300085.SZ,0.4886
28,300088.SZ,1.5031
29,300090.SZ,0.7803
30,300096.SZ,0.5338
31,300098.SZ,0.5811
32,300101.SZ,0.4668
33,300104.SZ,3.5109
34,300113.SZ,0.9546
35,300115.SZ,1.4257
36,300118.SZ,0.6229
37,300122.SZ,0.8516
38,300124.SZ,2.3426
39,300133.SZ,0.7481
40,300134.SZ,0.9133
41,300136.SZ,2.4575
42,300142.SZ,1.1787
43,300144.SZ,1.3016
44,300145.SZ,1.092
45,300146.SZ,0.8738
46,300156.SZ,1.6539
47,300159.SZ,1.1833
48,300166.SZ,0.6976
49,300168.SZ,1.123
50,300170.SZ,0.6746
51,300182.SZ,0.7948
52,300185.SZ,0.6372
53,300197.SZ,0.8204
54,300199.SZ,0.6788
55,300202.SZ,0.4089
56,300203.SZ,0.8437
57,300207.SZ,0.6736
58,300212.SZ,0.5296
59,300216.SZ,0.6614
60,300222.SZ,0.4858
61,300226.SZ,0.4091
62,300238.SZ,0.4863
63,300244.SZ,0.8922
64,300251.SZ,0.7609
65,300253.SZ,0.8235
66,300266.SZ,1.1908
67,300267.SZ,0.7661
68,300271.SZ,0.7658
69,300273.SZ,0.671
70,300274.SZ,0.6895
71,300287.SZ,0.6501
72,300291.SZ,0.7106
73,300292.SZ,0.4507
74,300294.SZ,0.6976
75,300296.SZ,1.3324
76,300297.SZ,0.4626
77,300315.SZ,1.8536
78,300317.SZ,0.2914
79,300324.SZ,0.8857
80,300336.SZ,0.394
81,300347.SZ,0.6789
82,300352.SZ,0.5306
83,300359.SZ,0.3739
84,300364.SZ,0.533
85,300367.SZ,0.8527
86,300369.SZ,0.3105
87,300376.SZ,0.4451
88,300377.SZ,0.4922
89,300383.SZ,0.9363
90,300408.SZ,2.1816
91,300418.SZ,1.0176
92,300431.SZ,0.5669
93,300433.SZ,0.7813
94,300450.SZ,0.6476
95,300458.SZ,0.4007
96,300459.SZ,0.4691
97,300474.SZ,0.2097
98,300496.SZ,0.5623
99,300498.SZ,8.6029
100,300512.SZ,0.1504
