,TOTAL_SHARES,FREE_FLOAT_SHARES,EPS_TTM,BPS,WEST_EPS_2017,WEST_EPS_2018,WEST_EPS_2019
600000.SH,28103763899.0,15344724887.0,1.90860555877,16.2,2.0204000473,2.18149995804,2.33119988441
600004.SH,1268935222.0,540420199.0,1.14734660838,9.3954,1.15960001945,0.874800026417,1.27559995651
600006.SH,2000000000.0,798000000.0,0.08392775211,3.2859,0.217700004578,0.28749999404,0.453999996185
600007.SH,1007282534.0,194922293.0,0.663830685463,6.2481,0.6875,0.832700014114,0.864499986172
600008.SH,4820614124.0,2202030706.0,0.128585094636,1.6499,0.16060000658,0.189099997282,0.214599996805
600009.SH,1926958448.0,900780553.0,1.53404382291,11.9816,1.65180003643,1.99010002613,2.18869996071
600010.SH,45585032648.0,11031999345.0,0.018277126066,1.4565,,,
600011.SH,15200383440.0,3878213333.0,0.363062767974,4.8581,0.336499989033,0.447100013494,0.500500023365
600012.SH,1658610000.0,236764279.0,0.586388240852,5.4097,,,
600015.SH,10685572211.0,4434124531.0,1.8478186858,12.68,2.00519990921,2.13949990273,
600016.SH,36485348752.0,28485005075.0,1.324805755,9.51,1.3776999712,1.4767999649,1.59210002422
600017.SH,3075653888.0,1600697334.0,0.0663182491716,3.3833,0.0740000009537,0.0755999982357,0.082999996841
600018.SH,23173674650.0,3168873220.0,0.296070539157,2.7531,0.365900009871,0.403100013733,0.437900006771
600019.SH,22102656925.0,7571237220.0,0.507773484887,6.96,0.557900011539,0.629199981689,0.690699994564
600020.SH,2247371832.0,887353659.0,0.462125326878,4.1769,,,
600021.SH,2139739257.0,855846765.0,0.306716730514,4.8198,0.591700017452,0.932399988174,1.36570000648
600022.SH,8420422781.0,4499004220.0,0.0220405699722,1.9601,0.0949999988079,0.125799998641,0.176499992609
600023.SH,13600689988.0,3587522987.0,0.421969009893,4.3672,0.310900002718,0.43520000577,0.51029998064
600026.SH,4032032861.0,1199108266.0,0.578107328712,6.9292,0.249300003052,0.289900004864,0.316199988127
600027.SH,9862976653.0,5983838953.0,0.155882352163,4.3226,0.21930000186,0.312900006771,0.457300007343
600028.SH,1.21071209646e+11,9765099945.0,0.469674005623,6.0181,0.486400008202,0.562900006771,0.61369997263
600029.SH,9817567000.0,2983421335.0,0.399487979048,4.5574,0.588100016117,0.67040002346,0.75
600030.SH,12116908400.0,7814965954.0,0.909855925086,12.0196,1.00929999352,1.18560004234,1.37269997597
600031.SH,7657951961.0,3715650425.0,0.112170721934,3.0259,0.325599998236,0.426699995995,0.510699987411
600033.SH,2744400000.0,1264919499.0,0.260440203768,3.156,0.263399988413,0.29699999094,0.326799988747
600035.SH,1730795923.0,603883725.0,0.246799148469,3.3402,0.319999992847,0.377499997616,0.432999998331
600036.SH,25219845601.0,11718361832.0,2.52610586948,16.68,2.68869996071,2.99670004845,3.37779998779
600037.SH,1391777884.0,681351437.0,0.515894408314,9.1987,0.587100028992,0.643999993801,0.644200026989
600038.SH,589476716.0,226379198.0,0.771063346478,11.7699,0.902599990368,1.13660001755,1.38209998608
600039.SH,3019732672.0,1692943902.0,0.338625961464,3.1936,0.428099989891,0.525699973106,0.623399972916
600048.SH,11858441061.0,6035177693.0,1.09201707284,7.6995,1.28699994087,1.51810002327,1.80929994583
600050.SH,21196596395.0,7898246984.0,0.0133359544491,3.6822,0.136299997568,0.189099997282,0.28900000453
600051.SH,310880000.0,217070400.0,0.492288094892,6.261,0.92720001936,1.15279996395,
600052.SH,871789092.0,452657703.0,0.441037938589,2.4293,0.562099993229,0.666899979115,
600053.SH,433540800.0,116795146.0,1.50567448462,4.568,2.25970005989,3.13759994507,3.93819999695
600054.SH,747300000.0,216704250.0,0.45636994365,5.5182,0.558499991894,0.655099987984,0.737800002098
600055.SH,540816199.0,232385536.0,0.153102895389,4.6454,0.22499999404,0.295100003481,0.362500011921
600056.SH,1068485534.0,454748134.0,0.956824814186,6.7641,1.1210000515,1.37989997864,1.63619995117
600057.SH,1170779403.0,529864955.0,0.415847186611,5.8277,0.510599970818,0.676400005817,0.856199979782
600058.SH,1071910711.0,401305789.0,-0.115098525776,4.6744,0.133100003004,0.175500005484,0.219099998474
600059.SH,808524165.0,473900048.0,0.152870190565,4.8952,0.196400001645,0.23409999907,0.297500014305
600060.SH,1308481222.0,725851560.0,1.14273141712,10.3071,1.48189997673,1.71280002594,1.98950004578
600061.SH,3694151713.0,793009262.0,0.671929448248,7.1675,0.85799998045,0.939999997616,
600062.SH,724470631.0,289890337.0,1.05822926865,9.554,1.19869995117,1.38020002842,1.57190001011
600063.SH,1925894692.0,1053929574.0,0.0575523045784,2.2498,0.110399998724,0.149900004268,0.152999997139
600064.SH,772473055.0,504132332.0,0.982835532535,13.4145,1.47800004482,1.81210005283,2.09980010986
600066.SH,2213939223.0,1303196908.0,1.79834523501,6.2784,1.9117000103,2.17510008812,2.37470006943
600067.SH,1492110725.0,984374694.0,0.412071066831,4.7641,0.284799993038,0.352999985218,0.41249999404
600068.SH,4604777412.0,2655329173.0,0.75920371952,5.0356,0.941999971867,1.16250002384,1.4076000452
600069.SH,1249102957.0,657664454.0,-0.308002911557,1.5949,,,
600070.SH,521946118.0,256192984.0,0.29386081879,4.3993,0.319999992847,0.384400010109,0.431499987841
600071.SH,237472456.0,143759762.0,-0.453175115517,1.621,0.25,0.310000002384,
600072.SH,736249883.0,309968452.0,-0.0244584774895,4.9346,0.0678000003099,0.105700001121,
600073.SH,937729472.0,583364598.0,0.333946318795,3.6572,0.453500002623,0.542500019073,0.622799992561
600074.SH,2437886049.0,905600688.0,0.341324046877,1.8676,0.566699981689,0.750999987125,0.884299993515
600075.SH,694658823.0,246603103.0,0.890492238835,5.7955,0.985099971294,1.1115000248,1.29670000076
600076.SH,1034264129.0,751038537.0,0.3716585593,2.9349,0.493699997663,0.642499983311,0.791499972343
600077.SH,1340122326.0,679994310.0,-0.12550789965,2.6636,0.187600001693,0.280499994755,0.189500004053
600078.SH,662572861.0,385638247.0,0.0913255239562,2.789,,,
600079.SH,1286049062.0,876980322.0,0.685077980649,6.8063,0.803499996662,1.0148999691,1.23420000076
600080.SH,305295872.0,227295872.0,0.098843944965,3.5338,0.180199995637,0.222699999809,0.271899998188
600081.SH,313560000.0,109746000.0,0.39437882973,3.7876,0.479999989271,0.629299998283,0.791899979115
600082.SH,646115826.0,476050754.0,-0.121816804593,2.5662,,,
600083.SH,230000000.0,123677988.0,0.00307726795652,0.2371,,,
600084.SH,1123726830.0,630550532.0,0.0312510553299,2.1457,,,
600085.SH,1371470262.0,652161722.0,0.702999042257,5.8935,0.768499970436,0.867500007153,1.03050005436
600086.SH,1350000000.0,600869074.0,0.199308313163,2.3253,,,
600088.SH,331422000.0,142891016.0,-0.271911556113,3.1453,,,
600089.SH,3237882686.0,2602379270.0,0.695161120516,7.1941,0.781400024891,0.920099973679,1.07360005379
600090.SH,1439662945.0,512337660.0,0.404350225705,3.8962,2.06349992752,,
600091.SH,437412524.0,286047100.0,0.118174583222,2.0735,,,
600093.SH,1122447500.0,235290264.0,0.624318579221,5.6609,0.739400029182,0.898699998856,1.12849998474
600094.SH,2475325057.0,889818409.0,0.392768457222,4.3595,0.454899996519,0.598900020123,0.751399993896
600095.SH,361263565.0,303169257.0,0.0275178824635,1.9921,,,
600096.SH,1321379138.0,505107929.0,-2.23272724256,2.9619,-0.0243999995291,0.104400001466,0.324499994516
600097.SH,202597901.0,95878939.0,0.289770157342,3.8144,,,
600098.SH,2726196558.0,675225251.0,0.195881945784,5.5653,0.612800002098,0.757700026035,
600099.SH,219120000.0,126863080.0,0.00549485158817,2.1669,,,
600100.SH,2963898951.0,1724952260.0,-0.394457013552,7.1879,0.715200006962,0.840399980545,0.931200027466
600101.SH,324178977.0,206049850.0,0.239321768327,6.1787,,,
600103.SH,1773706005.0,854011127.0,0.0513743700045,1.8137,,,
600104.SH,11683461365.0,2834116698.0,2.76749552372,18.4457,3.10630011559,3.40980005264,3.75169992447
600105.SH,944993092.0,491167254.0,0.276155553527,2.7371,0.36779999733,0.437000006437,0.541000008583
600106.SH,998516200.0,710423549.0,0.297642766227,3.9108,,,
600107.SH,360000000.0,286611262.0,0.01193094175,1.5181,,,
600108.SH,1946915121.0,1468421956.0,0.041835905891,2.4073,0.126699998975,0.183799996972,0.165500000119
600109.SH,3024359310.0,2027258737.0,0.419064102651,5.9036,0.502399981022,0.604399979115,0.735300004482
600110.SH,1150312097.0,1047536723.0,0.0462135386115,1.6616,0.559099972248,0.706300020218,0.838699996471
600111.SH,3633066000.0,2214886628.0,0.0436655305299,2.3039,0.0410000011325,0.0515000000596,
